figure,panel,series,seed,x,value,detail
4,B,cell_971,1100,0,0.0,held-out response; class selected on training laps
4,B,cell_971,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_971,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_971,1100,3,1.0,held-out response; class selected on training laps
4,B,cell_971,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_971,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_971,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_971,1100,7,1.0,held-out response; class selected on training laps
4,B,cell_691,1100,0,0.0,held-out response; class selected on training laps
4,B,cell_691,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_691,1100,2,1.0,held-out response; class selected on training laps
4,B,cell_691,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_691,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_691,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_691,1100,6,1.0,held-out response; class selected on training laps
4,B,cell_691,1100,7,0.0,held-out response; class selected on training laps
4,B,cell_683,1100,0,0.0,held-out response; class selected on training laps
4,B,cell_683,1100,1,1.0,held-out response; class selected on training laps
4,B,cell_683,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_683,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_683,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_683,1100,5,1.0,held-out response; class selected on training laps
4,B,cell_683,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_683,1100,7,0.0,held-out response; class selected on training laps
4,B,cell_679,1100,0,1.0,held-out response; class selected on training laps
4,B,cell_679,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_679,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_679,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_679,1100,4,1.0,held-out response; class selected on training laps
4,B,cell_679,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_679,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_679,1100,7,0.0,held-out response; class selected on training laps
4,B,cell_869,1100,0,0.0,held-out response; class selected on training laps
4,B,cell_869,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_869,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_869,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_869,1100,4,1.0,held-out response; class selected on training laps
4,B,cell_869,1100,5,1.0,held-out response; class selected on training laps
4,B,cell_869,1100,6,1.0,held-out response; class selected on training laps
4,B,cell_869,1100,7,1.0,held-out response; class selected on training laps
4,B,cell_110,1100,0,1.0,held-out response; class selected on training laps
4,B,cell_110,1100,1,1.0,held-out response; class selected on training laps
4,B,cell_110,1100,2,1.0,held-out response; class selected on training laps
4,B,cell_110,1100,3,1.0,held-out response; class selected on training laps
4,B,cell_110,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_110,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_110,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_110,1100,7,0.0,held-out response; class selected on training laps
4,B,cell_994,1100,0,0.0,held-out response; class selected on training laps
4,B,cell_994,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_994,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_994,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_994,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_994,1100,5,1.0,held-out response; class selected on training laps
4,B,cell_994,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_994,1100,7,1.0,held-out response; class selected on training laps
4,B,cell_380,1100,0,0.0,held-out response; class selected on training laps
4,B,cell_380,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_380,1100,2,1.0,held-out response; class selected on training laps
4,B,cell_380,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_380,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_380,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_380,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_380,1100,7,0.0,held-out response; class selected on training laps
4,B,cell_295,1100,0,1.0,held-out response; class selected on training laps
4,B,cell_295,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_295,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_295,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_295,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_295,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_295,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_295,1100,7,0.0,held-out response; class selected on training laps
4,B,cell_297,1100,0,0.0,held-out response; class selected on training laps
4,B,cell_297,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_297,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_297,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_297,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_297,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_297,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_297,1100,7,1.0,held-out response; class selected on training laps
4,B,cell_303,1100,0,0.0,held-out response; class selected on training laps
4,B,cell_303,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_303,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_303,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_303,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_303,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_303,1100,6,1.0,held-out response; class selected on training laps
4,B,cell_303,1100,7,0.0,held-out response; class selected on training laps
4,B,cell_317,1100,0,1.0,held-out response; class selected on training laps
4,B,cell_317,1100,1,1.0,held-out response; class selected on training laps
4,B,cell_317,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_317,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_317,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_317,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_317,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_317,1100,7,0.0,held-out response; class selected on training laps
4,B,cell_339,1100,0,0.0,held-out response; class selected on training laps
4,B,cell_339,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_339,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_339,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_339,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_339,1100,5,1.0,held-out response; class selected on training laps
4,B,cell_339,1100,6,1.0,held-out response; class selected on training laps
4,B,cell_339,1100,7,0.0,held-out response; class selected on training laps
4,B,cell_341,1100,0,1.0,held-out response; class selected on training laps
4,B,cell_341,1100,1,0.0,held-out response; class selected on training laps
4,B,cell_341,1100,2,0.0,held-out response; class selected on training laps
4,B,cell_341,1100,3,0.0,held-out response; class selected on training laps
4,B,cell_341,1100,4,0.0,held-out response; class selected on training laps
4,B,cell_341,1100,5,0.0,held-out response; class selected on training laps
4,B,cell_341,1100,6,0.0,held-out response; class selected on training laps
4,B,cell_341,1100,7,0.0,held-out response; class selected on training laps
4,C,position,1100,,0.0055,mean across paired layouts
4,C,cue,1100,,0.0025,mean across paired layouts
4,C,additive_mixed,1100,,0.0,mean across paired layouts
4,C,conjunctive,1100,,0.07350000000000001,mean across paired layouts
4,C,unclassified,1100,,0.9185000000000001,mean across paired layouts
4,D,aligned,1100,0,0.00020292207792207794,cue-tuning group 0:none 1:weak 2:moderate 3:strong
4,D,aligned,1100,1,0.2975943458971576,cue-tuning group 0:none 1:weak 2:moderate 3:strong
4,D,aligned,1100,2,0.407163320944227,cue-tuning group 0:none 1:weak 2:moderate 3:strong
4,D,aligned,1100,3,0.5315325353294611,cue-tuning group 0:none 1:weak 2:moderate 3:strong
4,C,position,1101,,0.006,mean across paired layouts
4,C,cue,1101,,0.0025,mean across paired layouts
4,C,additive_mixed,1101,,0.0,mean across paired layouts
4,C,conjunctive,1101,,0.07250000000000001,mean across paired layouts
4,C,unclassified,1101,,0.919,mean across paired layouts
4,D,aligned,1101,0,0.0,cue-tuning group 0:none 1:weak 2:moderate 3:strong
