figure,panel,series,seed,x,value,detail
1,D,Target,507,0,0.0,
1,D,Target,507,1,0.0,
1,D,Target,507,2,0.0,
1,D,Target,507,3,1.0,
1,D,Target,507,4,0.0,
1,D,Target,507,5,0.0,
1,D,Target,507,6,0.0,
1,D,Target,507,7,0.0,
1,D,Target,507,8,0.0,
1,D,Target,507,9,0.0,
1,D,Target,507,10,0.0,
1,D,Target,507,11,0.0,
1,D,Target,507,12,0.0,
1,D,Target,507,13,0.0,
1,D,Target,507,14,0.0,
1,D,Target,507,15,0.0,
1,D,Target,507,16,0.0,
1,D,Target,507,17,0.0,
1,D,Target,507,18,0.0,
1,D,Target,507,19,0.0,
1,D,Target,507,20,0.0,
1,D,Target,507,21,0.0,
1,D,Target,507,22,1.0,
1,D,Target,507,23,1.0,
1,D,Target,507,24,0.0,
1,D,Target,507,25,0.0,
1,D,Target,507,26,0.0,
1,D,Target,507,27,0.0,
1,D,Target,507,28,0.0,
1,D,Target,507,29,1.0,
1,D,Target,507,30,0.0,
1,D,Target,507,31,0.0,
1,D,Target,507,32,0.0,
1,D,Target,507,33,0.0,
1,D,Target,507,34,1.0,
1,D,Target,507,35,0.0,
1,D,Target,507,36,0.0,
1,D,Target,507,37,0.0,
1,D,Target,507,38,0.0,
1,D,Target,507,39,0.0,
1,D,Target,507,40,0.0,
1,D,Target,507,41,0.0,
1,D,Target,507,42,0.0,
1,D,Target,507,43,0.0,
1,D,Target,507,44,0.0,
1,D,Target,507,45,0.0,
1,D,Target,507,46,0.0,
1,D,Target,507,47,0.0,
1,D,Target,507,48,0.0,
1,D,Target,507,49,0.0,
1,D,Aligned,507,0,6.528092026706805e-21,cosine=0.59915036;memory_index=6
1,D,Aligned,507,1,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,2,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,3,3.4301202959370227e-34,cosine=0.59915036;memory_index=6
1,D,Aligned,507,4,2.072262534143699e-31,cosine=0.59915036;memory_index=6
1,D,Aligned,507,5,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,6,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,7,6.947228517396227e-23,cosine=0.59915036;memory_index=6
1,D,Aligned,507,8,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,9,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,10,7.861255608743222e-16,cosine=0.59915036;memory_index=6
1,D,Aligned,507,11,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,12,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,13,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,14,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,15,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,16,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,17,0.01045057363808155,cosine=0.59915036;memory_index=6
1,D,Aligned,507,18,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,19,8.205262235454653e-35,cosine=0.59915036;memory_index=6
1,D,Aligned,507,20,4.102634892504021e-21,cosine=0.59915036;memory_index=6
1,D,Aligned,507,21,1.6638253772095825e-33,cosine=0.59915036;memory_index=6
1,D,Aligned,507,22,0.9895493984222412,cosine=0.59915036;memory_index=6
1,D,Aligned,507,23,1.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,24,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,25,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,26,1.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,27,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,28,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,29,1.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,30,1.3604219282321997e-33,cosine=0.59915036;memory_index=6
1,D,Aligned,507,31,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,32,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,33,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,34,5.946242875611945e-32,cosine=0.59915036;memory_index=6
1,D,Aligned,507,35,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,36,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,37,1.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,38,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,39,1.086839618302804e-09,cosine=0.59915036;memory_index=6
1,D,Aligned,507,40,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,41,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,42,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,43,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,44,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,45,0.0,cosine=0.59915036;memory_index=6
1,D,Aligned,507,46,0.0,cosine=0.59915036;memory_index=6
