figure,panel,series,seed,x,value,detail
3,B,aligned,700,0,0.9418056905269623,seed mean across valid load-memory diagonal
3,B,aligned,700,1,0.949118150492846,seed mean across valid load-memory diagonal
3,B,aligned,700,2,0.914932504810136,seed mean across valid load-memory diagonal
3,B,aligned,700,3,0.9027140632010343,seed mean across valid load-memory diagonal
3,B,aligned,700,4,0.8577663632375854,seed mean across valid load-memory diagonal
3,B,aligned,700,5,0.8415996724909002,seed mean across valid load-memory diagonal
3,B,aligned,700,6,0.8304307527012296,seed mean across valid load-memory diagonal
3,B,aligned,700,7,0.737195332657616,seed mean across valid load-memory diagonal
3,B,aligned,700,8,0.7137976311720334,seed mean across valid load-memory diagonal
3,B,aligned,700,9,0.6631098126663881,seed mean across valid load-memory diagonal
3,B,aligned,700,10,0.5555015105009079,seed mean across valid load-memory diagonal
3,B,aligned,700,11,0.5586221289573884,seed mean across valid load-memory diagonal
3,B,aligned,700,12,0.5068163236913582,seed mean across valid load-memory diagonal
3,B,aligned,700,13,0.43779949653655925,seed mean across valid load-memory diagonal
3,B,aligned,700,14,0.4204852785105291,seed mean across valid load-memory diagonal
3,B,aligned,700,15,0.3768161703315046,seed mean across valid load-memory diagonal
3,B,aligned,700,16,0.3509157288988883,seed mean across valid load-memory diagonal
3,B,aligned,700,17,0.32498684031672254,seed mean across valid load-memory diagonal
3,B,aligned,700,18,0.2724349160811731,seed mean across valid load-memory diagonal
3,B,aligned,700,19,0.2653619712445794,seed mean across valid load-memory diagonal
3,B,aligned,700,20,0.2559673424810171,seed mean across valid load-memory diagonal
3,B,aligned,700,21,0.24410288016765547,seed mean across valid load-memory diagonal
3,B,aligned,700,22,0.20285125885550914,seed mean across valid load-memory diagonal
3,B,aligned,700,23,0.2401768165464337,seed mean across valid load-memory diagonal
3,B,aligned,700,24,0.19448035290568239,seed mean across valid load-memory diagonal
3,B,aligned,700,25,0.21912609147174017,seed mean across valid load-memory diagonal
3,B,aligned,700,26,0.1767327242585666,seed mean across valid load-memory diagonal
3,B,aligned,700,27,0.21531945196065036,seed mean across valid load-memory diagonal
3,B,aligned,700,28,0.2349981287115952,seed mean across valid load-memory diagonal
3,B,aligned,700,29,0.1713241653576974,seed mean across valid load-memory diagonal
3,B,aligned,700,30,0.16509638180335362,seed mean across valid load-memory diagonal
3,B,aligned,700,31,0.20277900801136575,seed mean across valid load-memory diagonal
3,B,aligned,700,32,0.13745234397772169,seed mean across valid load-memory diagonal
3,B,aligned,700,33,0.16667719654462956,seed mean across valid load-memory diagonal
3,B,aligned,700,34,0.18047608750370833,seed mean across valid load-memory diagonal
3,B,aligned,700,35,0.18797207474708558,seed mean across valid load-memory diagonal
3,B,aligned,700,36,0.18292119974891344,seed mean across valid load-memory diagonal
3,B,aligned,700,37,0.13605657853591052,seed mean across valid load-memory diagonal
3,B,aligned,700,38,0.16872127591208977,seed mean across valid load-memory diagonal
3,B,aligned,700,39,0.13802769035100937,seed mean across valid load-memory diagonal
3,B,aligned,700,40,0.2534741166047752,seed mean across valid load-memory diagonal
3,B,aligned,700,41,0.2056983779919775,seed mean across valid load-memory diagonal
3,B,aligned,700,42,0.16063658106658193,seed mean across valid load-memory diagonal
3,B,aligned,700,43,0.15060150163138614,seed mean across valid load-memory diagonal
3,B,aligned,700,44,0.16923197312280536,seed mean across valid load-memory diagonal
3,B,aligned,700,45,0.15582971026500067,seed mean across valid load-memory diagonal
3,B,aligned,700,46,0.1755136734406863,seed mean across valid load-memory diagonal
3,B,aligned,700,47,0.18250150921253058,seed mean across valid load-memory diagonal
3,B,aligned,700,48,0.18567575700581074,seed mean across valid load-memory diagonal
3,B,aligned,700,49,0.16425761207938194,seed mean across valid load-memory diagonal
3,B,aligned,700,50,0.14045781306922436,seed mean across valid load-memory diagonal
3,B,aligned,700,51,0.09243497252464294,seed mean across valid load-memory diagonal
3,B,aligned,700,52,0.14266762137413025,seed mean across valid load-memory diagonal
3,B,aligned,700,53,0.1771260787333761,seed mean across valid load-memory diagonal
3,B,aligned,700,54,0.26368797446290654,seed mean across valid load-memory diagonal
3,B,aligned,700,55,0.28984375298023224,seed mean across valid load-memory diagonal
3,B,aligned,700,56,0.2821630109101534,seed mean across valid load-memory diagonal
3,B,aligned,700,57,0.3032044197122256,seed mean across valid load-memory diagonal
3,B,aligned,700,58,0.11111893877387047,seed mean across valid load-memory diagonal
3,B,aligned,700,59,0.11472007632255554,seed mean across valid load-memory diagonal
3,C,aligned,700,60,11.0,threshold=0.77777778
3,B,aligned,701,0,0.9399834712346394,seed mean across valid load-memory diagonal
3,B,aligned,701,1,0.9311918454655146,seed mean across valid load-memory diagonal
3,B,aligned,701,2,0.9181099657354683,seed mean across valid load-memory diagonal
3,B,aligned,701,3,0.9130079139742935,seed mean across valid load-memory diagonal
3,B,aligned,701,4,0.8960394768842629,seed mean across valid load-memory diagonal
3,B,aligned,701,5,0.8534570704806935,seed mean across valid load-memory diagonal
3,B,aligned,701,6,0.8174701272337525,seed mean across valid load-memory diagonal
3,B,aligned,701,7,0.7944932355071014,seed mean across valid load-memory diagonal
3,B,aligned,701,8,0.7543524583944907,seed mean across valid load-memory diagonal
3,B,aligned,701,9,0.7169349228634554,seed mean across valid load-memory diagonal
3,B,aligned,701,10,0.6432577528059482,seed mean across valid load-memory diagonal
3,B,aligned,701,11,0.5359291983198147,seed mean across valid load-memory diagonal
3,B,aligned,701,12,0.5124866316715876,seed mean across valid load-memory diagonal
3,B,aligned,701,13,0.4811585910142736,seed mean across valid load-memory diagonal
3,B,aligned,701,14,0.45042376608952234,seed mean across valid load-memory diagonal
3,B,aligned,701,15,0.43026948852671515,seed mean across valid load-memory diagonal
3,B,aligned,701,16,0.3778405334292488,seed mean across valid load-memory diagonal
3,B,aligned,701,17,0.38829967178144426,seed mean across valid load-memory diagonal
3,B,aligned,701,18,0.34920389534506413,seed mean across valid load-memory diagonal
3,B,aligned,701,19,0.2955565768771055,seed mean across valid load-memory diagonal
3,B,aligned,701,20,0.27665100935846565,seed mean across valid load-memory diagonal
3,B,aligned,701,21,0.23790796597798666,seed mean across valid load-memory diagonal
3,B,aligned,701,22,0.23277393395179197,seed mean across valid load-memory diagonal
3,B,aligned,701,23,0.22313707956188433,seed mean across valid load-memory diagonal
3,B,aligned,701,24,0.18497264881928763,seed mean across valid load-memory diagonal
3,B,aligned,701,25,0.17732257779155458,seed mean across valid load-memory diagonal
3,B,aligned,701,26,0.1740072196459069,seed mean across valid load-memory diagonal
3,B,aligned,701,27,0.18944260839259985,seed mean across valid load-memory diagonal
3,B,aligned,701,28,0.17822934102150612,seed mean across valid load-memory diagonal
3,B,aligned,701,29,0.20646351407612523,seed mean across valid load-memory diagonal
3,B,aligned,701,30,0.1862935468554497,seed mean across valid load-memory diagonal
3,B,aligned,701,31,0.2230754106723029,seed mean across valid load-memory diagonal
3,B,aligned,701,32,0.24018582648464612,seed mean across valid load-memory diagonal
3,B,aligned,701,33,0.24418488282848289,seed mean across valid load-memory diagonal
3,B,aligned,701,34,0.2943212894292978,seed mean across valid load-memory diagonal
3,B,aligned,701,35,0.22992723554372788,seed mean across valid load-memory diagonal
3,B,aligned,701,36,0.20785612954447666,seed mean across valid load-memory diagonal
3,B,aligned,701,37,0.17404576876889105,seed mean across valid load-memory diagonal
3,B,aligned,701,38,0.2101296420124444,seed mean across valid load-memory diagonal
3,B,aligned,701,39,0.17524911676134383,seed mean across valid load-memory diagonal
3,B,aligned,701,40,0.1723479822278023,seed mean across valid load-memory diagonal
3,B,aligned,701,41,0.14216339627378866,seed mean across valid load-memory diagonal
3,B,aligned,701,42,0.16681087969077957,seed mean across valid load-memory diagonal
3,B,aligned,701,43,0.19397766318391352,seed mean across valid load-memory diagonal
3,B,aligned,701,44,0.168999528628774,seed mean across valid load-memory diagonal
3,B,aligned,701,45,0.1268561487396558,seed mean across valid load-memory diagonal
3,B,aligned,701,46,0.14228019224745886,seed mean across valid load-memory diagonal
3,B,aligned,701,47,0.12710441992833063,seed mean across valid load-memory diagonal
3,B,aligned,701,48,0.09661226347088814,seed mean across valid load-memory diagonal
3,B,aligned,701,49,0.06457678025419061,seed mean across valid load-memory diagonal
3,B,aligned,701,50,0.1434668056666851,seed mean across valid load-memory diagonal
3,B,aligned,701,51,0.20443400864799818,seed mean across valid load-memory diagonal
3,B,aligned,701,52,0.23150799982249737,seed mean across valid load-memory diagonal
3,B,aligned,701,53,0.11566010011093956,seed mean across valid load-memory diagonal
3,B,aligned,701,54,0.07580638428529103,seed mean across valid load-memory diagonal
3,B,aligned,701,55,0.1159378856420517,seed mean across valid load-memory diagonal
3,B,aligned,701,56,0.11115488037467003,seed mean across valid load-memory diagonal
3,B,aligned,701,57,0.11111404746770859,seed mean across valid load-memory diagonal
3,B,aligned,701,58,4.652887582778931e-06,seed mean across valid load-memory diagonal
